keys,en,sw,kam,kik,miji,luo,bor
initial_language_selection,"CON Welcome to Sarafu Network!
%{first_language_set}
11. Next
00. Exit","CON Karibu Sarafu Network!
%{first_language_set}
11. Mbele
00. Ondoka","CON Kalivu mutandao wa Sarafu!
%{first_language_set}
11. Mbee
00. Uma","CON Karibu Sarafu Network!
%{first_language_set}
11. Mbere
00. Uma","CON Karibu Sarafu Network!
%{first_language_set}
11. Mbere
00. Ombola","CON Machiegni e Sarafu Network!
%{first_language_set} 
11. Nyime
00. Wuok","CON Sarafu Network Diaad! 
%{first_language_set}
11. Dhuur
00.Bai"
initial_pin_entry,CON Please enter a new four number PIN for your account.,CON Tafadhali weka pin mpya yenye nambari nne kwa akaunti yako,CON Tafathali ikia pin yumbya ila ina namba inya ,CON Ikira namba yaku ya thiri njeru ina namba inna.,CON Ika piniyo ya namba Nee kwa akaunti yakwako.,CON Kiyie to ket namba ni mopondo manyien e akaunt ni.,CON Tafadhal pin hareti kekhae ka namba afuri fulaa akaunti kake
initial_pin_confirmation,CON Enter your four number PIN again,CON Weka PIN yako tena,CON Ikia PIN yaku ya namba inya ingi,CON Ikira PIN yaku ringi,CON ika nambazo nee kaheri,CON Ket namba ni mopondo manyien kendo,CON PIN kekhae Marro Dibii
enter_given_name,"CON Enter first name
0. Back",CON Weka jina lako la kwanza,"CON Andika isyitwa yaku ya mbee
0. Itina","CON Ikira ritwa ria mbere
0. Thutha","CON Injiza dzinaro ra kwanza
0. Uya nyuma","CON Enter first name
0. Chien","CON Makhaa karaa kor
0.Dheebi"
enter_family_name,"CON Enter family name
0. Back","CON Weka jina lako la mwisho
0. Rudi","CON Ikia isyitwa yaku ya muthya
0. Itina","CON Ikira ritwa rwaku ria mwisho
0. Thutha","CON Injiza dzinaro ra mbarini
0. Uya nyuma","CON Ket nyingi mogik.
0. Chien","CON Makhaa ka egee
0. Dhebii"
enter_date_of_birth,"CON Enter year of birth
0. Back","CON Weka mwaka wa kuzaliwa
0. Rudi","CON Ikia mwaka wa kusyawa
0. Itina","CON Ikira mwaka waku wa guciarwo
0. Thutha","CON Ika mwaka wakuvyalwa
0. Uya Nyuma","CON Ket iki mar nyuol
0. Chien","CON Gan kake ka athdalat kor
0. Dheebi"
enter_gender,"CON Enter gender
1. Male
2. Female
3. Other
0. Back","CON Weka jinsia yako
1. Mwanaume
2. Mwanamke
3. Nyingine
0. Rudi","CON Ikia muvai waku
1. Mundume
2. Mundumuka
3. Ingi
0. Itina","CON Ikira huura yaku
1.Mudurume
2.Mutumia
3.Ingi
0. Thutha","CON Ika kala Umulume.
1. Mulume
2. Muche
3. Vinjine
0. Uya Nyuma","CON Ket kit chwech mari
1. Dichuo
2. Dhako
3. Moko
0. Chien","CON Athin Dir mo Dubr
1. Dir
2. Dubr
3. Ka dibii
0. Dheebi"
enter_location,"CON Enter your location,
0. Back","CON Weka eneo lako
0. Rudi","CON Andika utui waku
0. Itina","CON Ikira Itura riaku
0. Thutha","CON Ika enero wombolako.
0. Uya nyuma","CON Ket kumaidake
0. Chien","CON Fulaa athin kubat kor
0. Dhebii"
enter_products,"CON Please enter a product or service you offer
0. Back","CON Weka bidhaa ama huduma unauza
0. Rudi","CON Andika syindu kana huduma ila unenganae kana kuta
0. Itina","CON Ikira Kindu kana wira uria urendia
0. Thutha","CON Ika Miyoo ama utu uhendao
0. Uya Nyuma","CON Ket gima iuso kata tich mitimo
0. Chien","CON Waan gurgurt okan namaa kenit khes khae
0. Dheebi"
start,"CON Balance %{account_balance} %{account_token_name}
1. Send
2. My Sarafu
3. My Account
4. Help","CON Salio %{account_balance} %{account_token_name}
1. Tuma
2. Sarafu yangu
3. Akaunti yangu
4. Usaidizi","CON Mbalansi yaku %{account_balance} %{account_token_name}
1. Kutuma
2. Sarafu yakwa
3. Kinandu chakwa
4. Utethyo","CON Matigari %{account_balance} %{account_token_name}
1. Tuma
2. Sarafu yakwa
3. Akaunti yakwa
4. Uteithio","CON Sazo %{account_balance} %{account_token_name}
1. Huma
2. Sarafu zangu
3. Akaunti yangu
4. Avizwa","CON Balance %{account_balance} %{account_token_name}
1. Or
2. Sarafu na
3. Sarafu na
4. Kony","CON Balans %{account_balance} %{account_token_name}
1. Erg
2. Sarafu khiy
3. Akaunt Khiy
4.Qarqars"
enter_transaction_recipient,"CON Enter phone number
0. Back","CON Weka nambari ya simu
0. Rudi","CON Ikia namba ya simu
0. Itina","CON Ikira namba ya thimu
0. Thutha","CON Ika namba ya simu.
0. Uya Nyuma","CON Ket namba simu ngama iorone
0. Chien","CON Namba simuu kekhai
0. Dheebi"
enter_transaction_amount,"CON Enter amount
0. Back","CON Weka kiwango
0. Rudi","CON Ikia kiwango
0. Itina","CON Ikira muigana
0. Thutha","CON Ika chaasi cha kuhuma.
0. Uya nyuma","CON Ket giko mari
0. Chien","CON Agham kekhai
0. Dheebi"
first_account_tokens_set,"CON Choose a number or symbol from your balances:
%{first_account_tokens_set}
0. Back
11. Next
00. Exit","CON Chagua nambari au ishara kutoka kwa salio zako:
%{first_account_tokens_set}
0. Rudi
11. Mbele
00. Ondoka","CON Sakua namba kana uvano kuma kwa mbalansi yaku:
%{first_account_tokens_set}
0. Itina
11. Mbee
00. Uma","CON Shagura namba kana kionereria hari matigari maku:
%{first_account_tokens_set}
0. Thutha
11. Ikinya ringi
00. Uma","CON Tsagula namba au ndzora kulaa kwa sazoro:
%{first_account_tokens_set}
0. Uya nyuma
11. Mbere
00. Ombola","CON Choose a number or symbol from your balances:
%{first_account_tokens_set}
0. Chien
11. Nyime
00. Wuok","CON Namba Chaguad fulaa balans kake. % first_account_tokens_set}
0. Dheebi
11. Dhuur
00.Bai"
middle_account_tokens_set,"CON Choose a number or symbol from your balances:
%{middle_account_tokens_set}
11. Next
22. Previous
00. Exit","CON Chagua nambari au ishara kutoka kwa salio zako:
%{middle_account_tokens_set}
11. Mbele
22. Rudi
00. Ondoka","CON Sakua namba kana uvano kuma kwa mbalansi yaku:
%{first_account_tokens_set}
11. Mbee
22. Itina
00. Uma","CON Cagura namba kana kionereria hari matigari maku:
%{middle_account_tokens_set}
11. Ikinya ringi
22. Thutha
00. Uma","CON Tsagula Sarafu:
 %{middle_account_tokens_set}
11.Mbere
22.Uya nyuma
00.Ombola","CON Choose a number or symbol from your balances:
%{middle_account_tokens_set}
11. Nyime
22. Mokalo
00. Wuok","CON Namba Chaguad fulaa balans kake.%{middle_account_tokens_set}
11. Dhuur 
22.Waan Dabraan
00.Bai"
last_account_tokens_set,"CON Choose a number or symbol from your balances:
%{last_account_tokens_set}
22. Previous
00. Exit","CON Chagua nambari au ishara kutoka kwa salio zako:
%{last_account_tokens_set}
22. Rudi
00. Ondoka","CON Sakua namba kana uvano kuma kwa mbalansi yaku:
%{last_account_tokens_set}
22. Syoka itina
00. Uma","CON Cagura namba kana kionereria hari matigari maku:
%{last_account_tokens_set}
22. Coka thutha
00. Uma ","CON Tsagula Sarafu:
 %{last_account_tokens_set}
22. Uya Nyuma
00.Ombola","CON Choose a number or symbol from your balances:
%{last_account_tokens_set}
22. Mokalo
00. Wuok","CON Namba Chaguad fulaa balans kake.%{last_account_tokens_set}
22.Waan Dabraan
00. Bai"
